order,sectionTitle,lessonTitle,slug,sectionIcon,filePath,description
01A,Build & Ship Your First App,Vibe Coding 101,impactful-apps-with-replit-agent/vibe-coding-101,robot,/lessons/impactful-apps-with-replit-agent/vibe-coding-101,""
02A,Welcome,Introduction,welcome/intro,info-circle,/lessons/welcome/intro,"Welcome to Beyond Vibe Coding! Who this course is for (spoiler: you), who Brian is, and how this whole thing works."
02B,Welcome,Setup,welcome/setup,info-circle,/lessons/welcome/setup,""
02C,Welcome,Let's Look at Your Code,welcome/lets-look-at-your-code,info-circle,/lessons/welcome/lets-look-at-your-code,""
03A,HTML,Visual Studio Code,html/visual-studio-code,file-code,/lessons/html/visual-studio-code,""
03B,HTML,HTML,html/html,file-code,/lessons/html/html,""
03C,HTML,More HTML Tags,html/more-html-tags,file-code,/lessons/html/more-html-tags,""
03D,HTML,HTML Project,html/html-project,file-code,/lessons/html/html-project,""
04A,CSS,A Whirlwind Tour of CSS,css/a-whirlwind-tour-of-css,palette,/lessons/css/a-whirlwind-tour-of-css,""
04B,CSS,CSS Project,css/css-project,palette,/lessons/css/css-project,""
04C,CSS,Generate a CSS Project,css/generate-a-css-project,palette,/lessons/css/generate-a-css-project,""
05A,JavaScript,The Actors Arrive,javascript/the-actors-arrive,bolt,/lessons/javascript/the-actors-arrive,"The theater analogy pays off: JavaScript is the actors performing your page live. Brian introduces what code actually is, the browser console as your rehearsal space, and your first script tag."
05B,JavaScript,Values and Variables,javascript/values-and-variables,bolt,/lessons/javascript/values-and-variables,"Brian covers the kinds of things JavaScript can put in its labeled boxes — numbers, strings, booleans, and the infamous undefined — plus how to read const, let, and the backtick strings agents love to write."
05C,JavaScript,Control Flows and Loops,javascript/control-flows-and-loops,bolt,/lessons/javascript/control-flows-and-loops,"How code makes decisions and repeats itself. Brian covers comparisons, if/else, the ternaries agents love to squish things into, and for and while loops — with an emphasis on reading them at a glance."
05D,JavaScript,Functions,javascript/functions,bolt,/lessons/javascript/functions,"Functions are how code gets a name. Brian covers defining versus calling, parameters, return, arrow functions (the costume agents prefer), and just enough scope to read confidently."
05E,JavaScript,Objects and Arrays,javascript/objects-and-arrays,bolt,/lessons/javascript/objects-and-arrays,"Data has shape. Brian covers objects (labeled compartments), arrays (numbered lists), the dots and brackets you use to reach inside them, and the reveal that you've secretly been learning to read JSON — the format every API speaks."
05F,JavaScript,git and GitHub,javascript/git-and-github,bolt,/lessons/javascript/git-and-github,"Before we crack open the calculator's code, we need a way to get code — and a safety net for changing it. Brian introduces repos, git versus GitHub, cloning in VS Code, and the single most important habit in AI-assisted coding: commit before you let the agent loose."
05G,JavaScript,The DOM and Events,javascript/the-dom,bolt,/lessons/javascript/the-dom,"The lesson the whole section has been building toward: what the DOM is, how events work, and a guided read of the real calculator — tracing one button press from click to screen."
05H,JavaScript,The Project,javascript/the-project,bolt,/lessons/javascript/the-project,"The section project: build Mad Libs from a blank file with your own hands — inputs, a button, a story — then commit it and hand the tedious parts to your assistant. The first-principles sandwich, fully assembled."
05I,JavaScript,Tinder for Pets,javascript/tinder-for-pets,bolt,/lessons/javascript/tinder-for-pets,"Homework: prompt your AI assistant to build Tinder for pets — and practice writing a spec, constraining the tech, and reading what comes back. Keep the repo when you're done; it gets superpowers later in the course."
06A,Talking to Servers,Calling an API,talking-to-servers/calling-an-api,tower-broadcast,/lessons/talking-to-servers/calling-an-api,"Every app you'll ever build talks to the internet within its first ten minutes of existence. Brian covers fetch, async and await, GET versus POST against a real live API, and the Network tab — your new flashlight."
06B,Talking to Servers,Project Infinite Pets,talking-to-servers/project-infinite-pets,tower-broadcast,/lessons/talking-to-servers/project-infinite-pets,"The promised upgrade: your pet app's fixed guest list becomes a live API. Rehearse the endpoint in the console, prompt the modification, read what changed — and for the ambitious, there's a Wordle-shaped bonus."
06C,Talking to Servers,Bonus Round,talking-to-servers/bonus-round,tower-broadcast,/lessons/talking-to-servers/bonus-round,""
07A,Frontend Apps,Reading TypeScript,frontend-apps/reading-typescript,layer-group,/lessons/frontend-apps/reading-typescript,"The colons are labels. Brian covers how to read TypeScript without learning to write it — types as documentation you can trust, the squint rule, why agents love the stuff, and what to do when the red squiggles come for you."
07B,Frontend Apps,JSX and React,frontend-apps/jsx-and-react,layer-group,/lessons/frontend-apps/jsx-and-react,"The biggest reading upgrade in the course: what React is, why every generated frontend uses it, and how everything in it — components, props, useState, onClick — is something you already know wearing a new costume."
07C,Frontend Apps,Tailwind,frontend-apps/tailwind,layer-group,/lessons/frontend-apps/tailwind,"Generated components come with a wall of tiny words in every className. That's Tailwind — Brian covers how to read utility classes by grammar instead of memorization, why agents adore the approach, and where all the actual CSS went."
07D,Frontend Apps,The Build Step,frontend-apps/the-build-step,layer-group,/lessons/frontend-apps/the-build-step,"The section finale where every hang-on-until-later gets answered: what a build step is, why generated projects all have one, src for humans versus dist for browsers, and the tells that let you recognize — and start — any built project you're handed."
07E,Frontend Apps,Project Pet Tinder in React,frontend-apps/project-pet-tinder-in-react,layer-group,/lessons/frontend-apps/project-pet-tinder-in-react,"The pet app rides again — same app, third form, React all the way down. A prompted rebuild with the training wheels off: TypeScript, Tailwind, and a build step welcome, because now you can read all of it."
07F,Frontend Apps,Project Weather Dashboard,frontend-apps/project-weather-dashboard,layer-group,/lessons/frontend-apps/project-weather-dashboard,"A bonus build for the ambitious: a weather dashboard in React, featuring the course's first chained API calls, a controlled search input, and a lookup-table puzzle. Different muscles than pet-swiping — search, forms, and requests that feed each other."
08A,Server-Side Code,Node.js and npm,server-side-code/node-and-npm,server,/lessons/server-side-code/node-and-npm,"JavaScript escapes the browser. Brian covers what Node actually is, the reveal that you've been using it all along, npm's fuller story, and the headline skill of the section: reading terminal output and stack traces without flinching."
08B,Server-Side Code,Your First Node.js Server,server-side-code/your-first-node-server,server,/lessons/server-side-code/your-first-node-server,"From five lines of vanilla Node to Express, with the reveal the course has been building toward: the words API you've been calling all along is a couple dozen lines of exactly this. Routes are just if-statements for URLs."
08C,Server-Side Code,REST,server-side-code/rest,server,/lessons/server-side-code/rest,"The grammar behind nearly every API: URLs as nouns, methods as verbs, and one endpoint meaning several things depending on how you ask. Plus Bruno, a friendly GUI for poking at APIs — and the truth that these are conventions, not laws."
